Tỉnh,Quận,Trường
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học và THCS Phong Minh (24219601)
Tỉnh Bắc Giang,Huyện Lục Ngạn,Trường Tiểu học và THCS Kim Sơn (24219602)
Tỉnh Bắc Giang,Huyện Sơn Động,Trường Tiểu học An Bá (24220401)
Tỉnh Bắc Giang,Huyện Sơn Động,Trường Tiểu học An Châu (24220402)
Tỉnh Bắc Giang,Huyện Sơn Động,Trường Tiểu học An Lạc (24220403)
Tỉnh Bắc Giang,Huyện Sơn Động,Trường Tiểu học An Lập (24220404)
Tỉnh Bắc Giang,Huyện Sơn Động,Trường Tiểu học Cẩm Đàn (24220405)
Tỉnh Bắc Giang,Huyện Sơn Động,Trường Tiểu học Dương Hưu (24220406)
Tỉnh Bắc Giang,Huyện Sơn Động,Trường Tiểu học Giáo Liêm (24220407)
Tỉnh Bắc Giang,Huyện Sơn Động,Trường Tiểu học Lệ Viễn (24220408)
Tỉnh Bắc Giang,Huyện Sơn Động,Trường Tiểu học Long Sơn (24220409)
Tỉnh Bắc Giang,Huyện Sơn Động,Trường Tiểu học Thị trấn Thanh Sơn (24220410)
Tỉnh Bắc Giang,Huyện Sơn Động,Trường Tiểu học Thị trấn An Châu (24220411)
Tỉnh Bắc Giang,Huyện Sơn Động,Trường Tiểu học Tuấn Đạo (24220412)
Tỉnh Bắc Giang,Huyện Sơn Động,Trường Tiểu học Yên Định (24220413)
Tỉnh Bắc Giang,Huyện Sơn Động,Trường Tiểu học Quế Sơn (24220416)
Tỉnh Bắc Giang,Huyện Sơn Động,Trường Tiểu học Vân Sơn (24220418)
Tỉnh Bắc Giang,Huyện Sơn Động,Trường TH&THCS Chiên Sơn (24220504)
Tỉnh Bắc Giang,Huyện Sơn Động,Trường TH&THCS Thanh Luận (24220510)
Tỉnh Bắc Giang,Huyện Sơn Động,Trường TH&THCS Phúc Sơn 1 (24220515)
Tỉnh Bắc Giang,Huyện Sơn Động,Trường TH&THCS Hữu Sản (24220601)
